,Apprehension Date,Apprehension AOR,citizenship_country,citizenship_country_cleaned,Continent,Country
77493,2025-07-28,Washington,El Salvador,El Salvador,North America,El Salvador
77494,2025-07-28,St. Paul,Honduras,Honduras,North America,Honduras
77495,2025-07-28,Miami,Mexico,Mexico,North America,Mexico
77496,2025-07-28,Salt Lake City,Guatemala,Guatemala,North America,Guatemala
77497,2025-07-27,Denver,Colombia,Colombia,South America,Colombia
77498,2025-07-28,Miami,Nicaragua,Nicaragua,North America,Nicaragua
77499,2025-07-28,Miami,Honduras,Honduras,North America,Honduras
77500,2025-07-28,Miami,Colombia,Colombia,South America,Colombia
77501,2025-07-28,Los Angeles,Mexico,Mexico,North America,Mexico
77502,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77503,2025-07-28,Detroit,Guatemala,Guatemala,North America,Guatemala
77504,2025-07-28,New York City,Dominican Republic,Dominican Republic,North America,Dominican Republic
77505,2025-07-28,Miami,Nicaragua,Nicaragua,North America,Nicaragua
77506,2025-07-28,Miami,Nicaragua,Nicaragua,North America,Nicaragua
77507,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77508,2025-07-28,San Antonio,Venezuela,Venezuela,South America,Venezuela
77509,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77510,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77511,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77512,2025-07-28,Harlingen,Mexico,Mexico,North America,Mexico
77513,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77514,2025-07-28,San Antonio,Cuba,Cuba,North America,Cuba
77515,2025-07-28,Denver,Cuba,Cuba,North America,Cuba
77516,2025-07-28,San Antonio,Honduras,Honduras,North America,Honduras
77517,2025-07-28,Philadelphia,Mexico,Mexico,North America,Mexico
77518,2025-07-28,Miami,Cuba,Cuba,North America,Cuba
77519,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77520,2025-07-28,Dallas,Cuba,Cuba,North America,Cuba
77521,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77522,2025-07-28,Washington,Guatemala,Guatemala,North America,Guatemala
77523,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77524,2025-07-28,Salt Lake City,Cuba,Cuba,North America,Cuba
77525,2025-07-28,San Antonio,Honduras,Honduras,North America,Honduras
77526,2025-07-28,New York City,Ecuador,Ecuador,South America,Ecuador
77527,2025-07-28,St. Paul,Mexico,Mexico,North America,Mexico
77528,2025-07-23,Atlanta,Guatemala,Guatemala,North America,Guatemala
77529,2025-07-28,Newark,Mexico,Mexico,North America,Mexico
77530,2025-07-25,New Orleans,Guatemala,Guatemala,North America,Guatemala
77531,2025-07-28,Dallas,Vietnam,Vietnam,Asia,Vietnam
77532,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77533,2025-07-28,Dallas,Honduras,Honduras,North America,Honduras
77534,2025-07-28,Dallas,Vietnam,Vietnam,Asia,Vietnam
77535,2025-07-28,Salt Lake City,Guatemala,Guatemala,North America,Guatemala
77536,2025-07-28,Dallas,Honduras,Honduras,North America,Honduras
77537,2025-07-28,New Orleans,Mexico,Mexico,North America,Mexico
77538,2025-07-28,Miami,Guatemala,Guatemala,North America,Guatemala
77539,2025-07-31,Miami,Venezuela,Venezuela,South America,Venezuela
77540,2025-07-28,New York City,Honduras,Honduras,North America,Honduras
77541,2025-07-28,San Diego,Honduras,Honduras,North America,Honduras
77542,2025-07-28,Newark,Colombia,Colombia,South America,Colombia
77543,2025-07-28,New Orleans,Mexico,Mexico,North America,Mexico
