apprehension_date,Apprehension Method
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,287(g) Program
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Other Agency (turned over to INS)
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,287(g) Program
8/31/16,CAP Local Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,Other efforts
8/31/16,ERO Reprocessed Arrest
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,287(g) Program
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,Probation and Parole
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,287(g) Program
8/31/16,Non-Custodial Arrest
8/31/16,Probation and Parole
8/31/16,287(g) Program
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,287(g) Program
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Probation and Parole
8/31/16,287(g) Program
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Probation and Parole
8/31/16,Probation and Parole
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,287(g) Program
8/31/16,CAP State Incarceration
8/31/16,CAP State Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,Law Enforcement Agency Response Unit
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Other efforts
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Probation and Parole
8/31/16,Other efforts
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Local Incarceration
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Probation and Parole
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,CAP Local Incarceration
8/31/16,287(g) Program
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,Patrol Border
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,287(g) Program
8/31/16,287(g) Program
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Probation and Parole
8/31/16,287(g) Program
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Probation and Parole
8/31/16,CAP Local Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP State Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,Other efforts
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,Located
8/31/16,Located
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,287(g) Program
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,287(g) Program
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,ERO Reprocessed Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,287(g) Program
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Non-Custodial Arrest
8/31/16,Non-Custodial Arrest
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,Located
8/31/16,Non-Custodial Arrest
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,CAP Federal Incarceration
8/31/16,Located
8/31/16,Located
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Other efforts
8/31/16,CAP Local Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP Federal Incarceration
8/31/16,CAP State Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,CAP Local Incarceration
8/31/16,Located
8/31/16,Patrol Border
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,Probation and Parole
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Organized Crime Drug Enforcement Task Force
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,287(g) Program
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,Probation and Parole
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,287(g) Program
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,287(g) Program
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Probation and Parole
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Located
8/30/16,Located
8/30/16,Located
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Probation and Parole
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Located
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,Located
8/30/16,CAP State Incarceration
8/30/16,Probation and Parole
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Probation and Parole
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Probation and Parole
8/30/16,Non-Custodial Arrest
8/30/16,Probation and Parole
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,Other efforts
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,287(g) Program
8/30/16,CAP Federal Incarceration
8/30/16,Probation and Parole
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Probation and Parole
8/30/16,Non-Custodial Arrest
8/30/16,Other efforts
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Other efforts
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,287(g) Program
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Probation and Parole
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Other efforts
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,Probation and Parole
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Probation and Parole
8/30/16,CAP State Incarceration
8/30/16,Probation and Parole
8/30/16,CAP State Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP State Incarceration
8/30/16,Other efforts
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Probation and Parole
8/30/16,ERO Reprocessed Arrest
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Other efforts
8/30/16,Located
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,287(g) Program
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,287(g) Program
8/30/16,287(g) Program
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Anti-Smuggling
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,Non-Custodial Arrest
8/30/16,287(g) Program
8/30/16,CAP Federal Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,Non-Custodial Arrest
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,287(g) Program
8/30/16,CAP Local Incarceration
8/30/16,Probation and Parole
8/30/16,Located
8/30/16,Located
8/30/16,Probation and Parole
8/30/16,CAP Local Incarceration
8/30/16,Other Agency (turned over to INS)
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Located
8/30/16,287(g) Program
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Local Incarceration
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Local Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,Probation and Parole
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP State Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,Located
8/30/16,CAP Federal Incarceration
8/30/16,Non-Custodial Arrest
8/30/16,CAP Federal Incarceration
8/30/16,ERO Reprocessed Arrest
8/30/16,CAP Federal Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,Other efforts
8/30/16,CAP Local Incarceration
8/30/16,CAP Federal Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Probation and Parole
8/30/16,CAP Local Incarceration
8/30/16,CAP Local Incarceration
8/30/16,Non-Custodial Arrest
8/29/16,Probation and Parole
8/29/16,Non-Custodial Arrest
8/29/16,Located
8/29/16,CAP Local Incarceration
8/29/16,Located
8/29/16,CAP Local Incarceration
8/29/16,Located
8/29/16,Located
8/29/16,CAP Local Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP State Incarceration
8/29/16,CAP State Incarceration
8/29/16,Probation and Parole
8/29/16,ERO Reprocessed Arrest
8/29/16,CAP State Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP State Incarceration
8/29/16,Probation and Parole
8/29/16,CAP State Incarceration
8/29/16,CAP Local Incarceration
8/29/16,Probation and Parole
8/29/16,CAP Federal Incarceration
8/29/16,Non-Custodial Arrest
8/29/16,CAP State Incarceration
8/29/16,CAP State Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Federal Incarceration
8/29/16,CAP State Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Local Incarceration
8/29/16,Non-Custodial Arrest
8/29/16,CAP State Incarceration
8/29/16,CAP Federal Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Federal Incarceration
8/29/16,Non-Custodial Arrest
8/29/16,CAP Local Incarceration
8/29/16,Located
8/29/16,CAP Local Incarceration
8/29/16,Located
8/29/16,CAP Local Incarceration
8/29/16,CAP Federal Incarceration
8/29/16,Located
8/29/16,Non-Custodial Arrest
8/29/16,CAP Federal Incarceration
8/29/16,CAP Federal Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP State Incarceration
8/29/16,CAP Local Incarceration
8/29/16,CAP Local Incarceration
8/29/16,Non-Custodial Arrest
8/29/16,CAP Local Incarceration
