Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Casten,Democratic,Illinois,IL,Nay,6,IL-6,-3.0,2024.0,Sean Casten,Casten,Democrat
Castor,Democratic,Florida,FL,Nay,14,FL-14,-8.0,2024.0,Kathy Castor,Castor,Democrat
Castro,Democratic,Texas,TX,Nay,20,TX-20,-15.0,2024.0,Joaquin Castro,Castro,Democrat
Cherfilus-McCormick,Democratic,Florida,FL,Nay,20,FL-20,-25.0,2024.0,Sheila Cherfilus-McCormick,Cherfilus-McCormick,Democrat
Chu,Democratic,California,CA,Nay,28,CA-28,-16.0,2024.0,Judy Chu,Chu,Democrat
Ciscomani,Republican,Arizona,AZ,Yea,7,AZ-7,-15.0,2024.0,Juan Ciscomani,Ciscomani,Republican
Cisneros,Democratic,California,CA,Nay,31,CA-31,-15.0,2024.0,"Gilbert Ray Cisneros, Jr.",Cisneros,Democrat
Clark,Democratic,Massachusetts,MA,Nay,5,MA-5,-23.0,2024.0,Katherine M. Clark,Clark,Democrat
Clarke,Democratic,New York,NY,Nay,10,NY-10,-35.0,2024.0,Yvette D. Clarke,Clarke,Democrat
Cleaver,Democratic,Missouri,MO,Nay,5,MO-5,-11.0,2024.0,Emanuel Cleaver,Cleaver,Democrat
Cline,Republican,Virginia,VA,Yea,6,VA-6,14.0,2024.0,Ben Cline,Cline,Republican
Cloud,Republican,Texas,TX,Yea,27,TX-27,13.0,2024.0,Michael Cloud,Cloud,Republican
Clyburn,Democratic,South Carolina,SC,Nay,7,SC-7,11.0,2024.0,James E. Clyburn,Clyburn,Democrat
Clyde,Republican,Georgia,GA,Yea,9,GA-9,22.0,2024.0,Andrew S. Clyde,Clyde,Republican
Cohen,Democratic,Tennessee,TN,Nay,9,TN-9,-22.0,2024.0,Steve Cohen,Cohen,Democrat
Cole,Republican,Oklahoma,OK,Yea,5,OK-5,12.0,2024.0,Tom Cole,Cole,Republican
Collins,Republican,Georgia,GA,Yea,10,GA-10,15.0,2024.0,Mike Collins,Collins,Republican
Comer,Republican,Kentucky,KY,Yea,1,KY-1,24.0,2024.0,James Comer,Comer,Republican
Conaway,Democratic,New Jersey,NJ,Nay,4,NJ-4,14.0,2024.0,"Herbert C. Conaway, Jr.",Conaway,Democrat
Correa,Democratic,California,CA,Not Voting,46,CA-46,-15.0,2024.0,J. Luis Correa,Correa,Democrat
Costa,Democratic,California,CA,Yea,21,CA-21,-9.0,2024.0,Jim Costa,Costa,Democrat
Courtney,Democratic,Connecticut,CT,Yea,2,CT-2,-3.0,2024.0,Joe Courtney,Courtney,Democrat
Craig,Democratic,Minnesota,MN,Yea,2,MN-2,-1.0,2024.0,Angie Craig,Craig,Democrat
Crane,Republican,Arizona,AZ,Yea,3,AZ-3,-24.0,2024.0,Elijah Crane,Crane,Republican
Crank,Republican,Colorado,CO,Yea,5,CO-5,9.0,2024.0,Jeff Crank,Crank,Republican
Crawford,Republican,Arkansas,AR,Yea,1,AR-1,22.0,2024.0,"Eric A. ""Rick"" Crawford",Crawford,Republican
Crenshaw,Republican,Texas,TX,Yea,2,TX-2,15.0,2024.0,Dan Crenshaw,Crenshaw,Republican
Crockett,Democratic,Texas,TX,Nay,30,TX-30,-27.0,2024.0,Jasmine Crockett,Crockett,Democrat
Crow,Democratic,Colorado,CO,Nay,6,CO-6,-9.0,2024.0,Jason Crow,Crow,Democrat
Cuellar,Democratic,Texas,TX,Yea,28,TX-28,-3.0,2024.0,Henry Cuellar,Cuellar,Democrat
Davids,Democratic,Kansas,KS,Yea,3,KS-3,1.0,2024.0,Sharice Davids,Davids,Democrat
Davidson,Republican,Ohio,OH,Yea,9,OH-9,3.0,2024.0,Warren Davidson,Davidson,Republican
Davis,Democratic,Illinois,IL,Nay,7,IL-7,-36.0,2024.0,Danny K. Davis,Davis,Democrat
Davis,Democratic,North Carolina,NC,Yea,2,NC-2,-12.0,2024.0,Donald G. Davis,Davis,Democrat
De La Cruz,Republican,Texas,TX,Yea,15,TX-15,1.0,2024.0,Monica De La Cruz,De La Cruz,Republican
Dean,Democratic,Pennsylvania,PA,Nay,5,PA-5,-14.0,2024.0,Madeleine Dean,Dean,Democrat
DeGette,Democratic,Colorado,CO,Nay,1,CO-1,-29.0,2024.0,Diana DeGette,DeGette,Democrat
DeLauro,Democratic,Connecticut,CT,Nay,3,CT-3,-7.0,2024.0,Rosa L. DeLauro,DeLauro,Democrat
DelBene,Democratic,Washington,WA,Nay,1,WA-1,-13.0,2024.0,Suzan K. DelBene,DelBene,Democrat
DeSaulnier,Democratic,California,CA,Nay,10,CA-10,-18.0,2024.0,Mark DeSaulnier,DeSaulnier,Democrat
DesJarlais,Republican,Tennessee,TN,Yea,5,TN-5,9.0,2024.0,Scott DesJarlais,DesJarlais,Republican
Dexter,Democratic,Oregon,OR,Nay,4,OR-4,-4.0,2024.0,Maxine Dexter,Dexter,Democrat
Diaz-Balart,Republican,Florida,FL,Yea,26,FL-26,8.0,2024.0,Mario Diaz-Balart,Diaz-Balart,Republican
Dingell,Democratic,Michigan,MI,Not Voting,6,MI-6,-11.0,2024.0,Debbie Dingell,Dingell,Democrat
Doggett,Democratic,Texas,TX,Nay,37,TX-37,-24.0,2024.0,Lloyd Doggett,Doggett,Democrat
Donalds,Republican,Florida,FL,Yea,19,FL-19,13.0,2024.0,Byron Donalds,Donalds,Republican
Dunn,Republican,Florida,FL,Yea,2,FL-2,8.0,2024.0,Neal P. Dunn,Dunn,Republican
Edwards,Republican,North Carolina,NC,Yea,12,NC-12,-13.0,2024.0,Chuck Edwards,Edwards,Republican
Elfreth,Democratic,Maryland,MD,Nay,3,MD-3,-10.0,2024.0,Sarah Elfreth,Elfreth,Democrat
Ellzey,Republican,Texas,TX,Yea,6,TX-6,15.0,2024.0,Jake Ellzey,Ellzey,Republican
Emmer,Republican,Minnesota,MN,Yea,6,MN-6,12.0,2024.0,Tom Emmer,Emmer,Republican
Escobar,Democratic,Texas,TX,Nay,16,TX-16,-17.0,2024.0,Veronica Escobar,Escobar,Democrat
Espaillat,Democratic,New York,NY,Nay,14,NY-14,-28.0,2024.0,Adriano Espaillat,Espaillat,Democrat
Estes,Republican,Kansas,KS,Yea,4,KS-4,14.0,2024.0,Ron Estes,Estes,Republican
Evans,Republican,Colorado,CO,Yea,8,CO-8,0.0,2024.0,Gabe Evans,Evans,Republican
Evans,Democratic,Pennsylvania,PA,Nay,4,PA-4,-7.0,2024.0,Dwight Evans,Evans,Democrat
Fallon,Republican,Texas,TX,Yea,4,TX-4,16.0,2024.0,Pat Fallon,Fallon,Republican
Feenstra,Republican,Iowa,IA,Yea,4,IA-4,16.0,2024.0,Randy Feenstra,Feenstra,Republican
Fields,Democratic,Louisiana,LA,Nay,6,LA-6,19.0,2024.0,Cleo Fields,Fields,Democrat
Figures,Democratic,Alabama,AL,Yea,2,AL-2,17.0,2024.0,Shomari Figures,Figures,Democrat
Finstad,Republican,Minnesota,MN,Yea,1,MN-1,7.0,2024.0,Brad Finstad,Finstad,Republican
Fischbach,Republican,Minnesota,MN,Yea,7,MN-7,19.0,2024.0,Michelle Fischbach,Fischbach,Republican
Fitzgerald,Republican,Wisconsin,WI,Yea,5,WI-5,14.0,2024.0,Scott Fitzgerald,Fitzgerald,Republican
Fitzpatrick,Republican,Pennsylvania,PA,Yea,2,PA-2,-20.0,2024.0,Brian K. Fitzpatrick,Fitzpatrick,Republican
Fleischmann,Republican,Tennessee,TN,Yea,4,TN-4,22.0,2024.0,"Charles J. ""Chuck"" Fleischmann",Fleischmann,Republican
Fletcher,Democratic,Texas,TX,Nay,7,TX-7,-13.0,2024.0,Lizzie Fletcher,Fletcher,Democrat
Flood,Republican,Nebraska,NE,Yea,2,NE-2,0.0,2024.0,Mike Flood,Flood,Republican
Fong,Republican,California,CA,Yea,20,CA-20,16.0,2024.0,Vince Fong,Fong,Republican
Foster,Democratic,Illinois,IL,Nay,11,IL-11,-5.0,2024.0,Bill Foster,Foster,Democrat
Foushee,Democratic,North Carolina,NC,Nay,5,NC-5,13.0,2024.0,Valerie P. Foushee,Foushee,Democrat
Foxx,Republican,North Carolina,NC,Yea,6,NC-6,-4.0,2024.0,Virginia Foxx,Foxx,Republican
Friedman,Democratic,California,CA,Nay,30,CA-30,-23.0,2024.0,Laura Friedman,Friedman,Democrat
Frost,Democratic,Florida,FL,Nay,10,FL-10,-14.0,2024.0,Maxwell Frost,Frost,Democrat
Fulcher,Republican,Idaho,ID,Yea,1,ID-1,22.0,2024.0,Russ Fulcher,Fulcher,Republican
Garamendi,Democratic,California,CA,Not Voting,8,CA-8,-26.0,2024.0,John Garamendi,Garamendi,Democrat
Garbarino,Republican,New York,NY,Yea,3,NY-3,-2.0,2024.0,Andrew R. Garbarino,Garbarino,Republican
