FID,objectid,permit_number,operator,permit_status,effective_date,operational_status,permit_type,site_name,site_address_1,site_address_2,site_address_3,site_towncity,site_postcode,site_grid_reference,easting,northing,nrw_area,complianceteam,local_aurthority,permit_regime,permit_activity_code,permit_activity_description,permit_activity_limit,permit_activity_limit_units,geom
nrw_authorised_landfill_sites_pnt.53,53,PP3898FA,B J Land Holdings Ltd,Effective,1992-04-30T01:00:00,Closed,Bespoke,Penplas Farm,,,,Swansea,SA5 7LA,SS 63248 97652,263248,197652,SouthWest,SW Waste Regulation Team,Swansea,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (263248 197652)
nrw_authorised_landfill_sites_pnt.54,54,PP3998FD,Pembrokeshire County Council,Effective,1992-02-26T00:00:00,Closed,Bespoke,Court House Farm,Little Newcastle,,,Letterson,SA62 5TD,SM 97569 28979,197569,228979,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (197569 228979)
nrw_authorised_landfill_sites_pnt.55,55,RP3337SE,Clive Hurt Anglesey Limited,Effective,2025-09-05T01:00:00,Operational,Bespoke,Nant Newydd Quarry Landfill Site,Brynteg,,Anglessey,,LL78 7JJ,SH 48150 81150,248150,381150,North,NW Industry & Waste Regulation Team,Isle of Anglesey,Waste,L05,Inert Landfill,125000,Tonnes per annum,POINT (248150 381150)
nrw_authorised_landfill_sites_pnt.56,56,RP3799FD,Powys County Council,Effective,1994-01-24T00:00:00,Closed,Bespoke,Bwlch Y Wern  Landfill,Llanafan Fawr,,,Builth Wells,LD2 3NB,SN 95338 54785,295338,254785,Mid,Mid Waste and Enforcement Team,Powys,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (295338 254785)
nrw_authorised_landfill_sites_pnt.57,57,SP3094FY,I T Williams Company Ltd,Effective,1991-03-12T00:00:00,Closed,Bespoke,Plas Einon Quarry,Dyffryn,,,Clwyd,LL15 2EL,SJ 12864 54380,312864,354380,North,NE Waste Regulation Team,Denbighshire,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (312864 354380)
nrw_authorised_landfill_sites_pnt.58,58,SP3298FT,Neath Port Talbot County Borough Council,Effective,2023-04-01T01:00:00,Closed,Bespoke,Giants Grave Landfill,Briton Ferry,,,Neath,SA11 2LN,SS 73372 95863,273372,195863,SouthWest,SW Waste Regulation Team,Neath Port Talbot,Waste,A02,Other Landfill Site taking Hazardous Waste,0,Tonnes per annum,POINT (273372 195863)
nrw_authorised_landfill_sites_pnt.59,59,SP3394FL,D Morgan Plc,Effective,1991-02-20T00:00:00,Closed,Bespoke,Sea View Farm 2,Ewloe,,,Deeside,CH5 3AH,SJ 29850 67460,329850,367460,North,NE Waste Regulation Team,Flintshire,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (329850 367460)
nrw_authorised_landfill_sites_pnt.60,60,SP3894FZ,B Griffiths,Effective,1991-05-21T01:00:00,Closed,Bespoke,Maes Y Grug Landfill,Alltami,,,Mold,CH7 6RJ,SJ 26296 65825,326296,365825,North,NE Waste Regulation Team,Flintshire,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (326296 365825)
nrw_authorised_landfill_sites_pnt.61,61,SP3998FQ,Lawrence D H & G L,Effective,1992-12-24T00:00:00,Closed,Bespoke,Pope Hill 1,Johnston,,,Haverfordwest,SA62 3NX,SM 93387 12677,193387,212677,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (193387 212677)
nrw_authorised_landfill_sites_pnt.62,62,TP3199FH,Tata Steel UK Limited,Effective,2017-08-29T01:00:00,Operational,Bespoke,Llanwern Works East,Eastern End Of Works,,,Newport,NP19 4QZ,ST 39534 86501,339534,186501,SouthEast,SE Waste Regulation Team,Newport,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (339534 186501)
