Apprehension AOR,weeks_since_inauguration,arrests
Miami,15,475
Miami,16,566
Miami,17,603
Miami,18,742
Miami,19,955
Miami,20,799
Miami,21,806
Miami,22,582
Miami,23,408
Miami,24,597
Miami,25,445
Miami,26,552
Miami,27,548
Miami,28,524
Miami,29,591
Miami,30,765
Miami,31,581
Miami,32,593
Miami,33,763
Miami,34,804
Miami,35,953
Miami,36,779
Miami,37,616
Miami,38,307
New Orleans,-15,233
New Orleans,-14,211
New Orleans,-13,235
New Orleans,-12,222
New Orleans,-11,224
New Orleans,-10,206
New Orleans,-9,192
New Orleans,-8,243
New Orleans,-7,164
New Orleans,-6,221
New Orleans,-5,214
New Orleans,-4,256
New Orleans,-3,114
New Orleans,-2,156
New Orleans,-1,192
New Orleans,0,402
New Orleans,1,405
New Orleans,2,339
New Orleans,3,407
New Orleans,4,308
New Orleans,5,430
New Orleans,6,417
New Orleans,7,440
New Orleans,8,413
New Orleans,9,423
New Orleans,10,453
New Orleans,11,421
New Orleans,12,388
New Orleans,13,466
New Orleans,14,448
New Orleans,15,447
New Orleans,16,403
New Orleans,17,460
New Orleans,18,339
New Orleans,19,527
New Orleans,20,498
New Orleans,21,467
New Orleans,22,433
New Orleans,23,394
New Orleans,24,416
New Orleans,25,451
New Orleans,26,491
New Orleans,27,432
New Orleans,28,498
New Orleans,29,483
New Orleans,30,559
New Orleans,31,510
New Orleans,32,438
New Orleans,33,553
New Orleans,34,585
New Orleans,35,564
New Orleans,36,521
New Orleans,37,571
New Orleans,38,230
New York City,-15,36
New York City,-14,32
New York City,-13,59
New York City,-12,39
New York City,-11,55
New York City,-10,32
New York City,-9,45
New York City,-8,40
New York City,-7,30
New York City,-6,41
New York City,-5,29
New York City,-4,24
New York City,-3,17
New York City,-2,12
New York City,-1,25
New York City,0,60
New York City,1,90
New York City,2,70
New York City,3,65
New York City,4,65
New York City,5,83
New York City,6,47
New York City,7,56
New York City,8,55
New York City,9,69
New York City,10,67
New York City,11,186
New York City,12,49
New York City,13,46
New York City,14,58
New York City,15,38
New York City,16,61
New York City,17,95
New York City,18,214
New York City,19,386
New York City,20,159
New York City,21,197
New York City,22,233
New York City,23,159
New York City,24,185
New York City,25,223
New York City,26,227
New York City,27,257
New York City,28,230
New York City,29,165
New York City,30,144
New York City,31,131
New York City,32,165
New York City,33,157
New York City,34,137
New York City,35,158
New York City,36,107
New York City,37,153
New York City,38,96
Newark,-15,73
Newark,-14,77
Newark,-13,87
Newark,-12,77
Newark,-11,82
Newark,-10,76
Newark,-9,79
Newark,-8,75
Newark,-7,63
Newark,-6,76
Newark,-5,86
Newark,-4,88
Newark,-3,48
Newark,-2,65
Newark,-1,81
Newark,0,169
Newark,1,124
Newark,2,122
Newark,3,137
Newark,4,133
Newark,5,140
Newark,6,103
Newark,7,115
Newark,8,119
Newark,9,119
Newark,10,88
Newark,11,111
Newark,12,91
Newark,13,95
Newark,14,102
Newark,15,99
Newark,16,111
Newark,17,142
Newark,18,176
Newark,19,291
Newark,20,207
Newark,21,165
Newark,22,172
Newark,23,132
Newark,24,187
Newark,25,177
Newark,26,217
Newark,27,215
Newark,28,188
Newark,29,182
Newark,30,228
Newark,31,169
Newark,32,171
Newark,33,189
Newark,34,213
Newark,35,179
Newark,36,178
Newark,37,191
Newark,38,86
Philadelphia,-15,30
Philadelphia,-14,42
Philadelphia,-13,46
Philadelphia,-12,45
Philadelphia,-11,56
Philadelphia,-10,44
Philadelphia,-9,42
Philadelphia,-8,52
Philadelphia,-7,32
Philadelphia,-6,75
Philadelphia,-5,63
Philadelphia,-4,53
Philadelphia,-3,16
Philadelphia,-2,36
Philadelphia,-1,51
Philadelphia,0,152
Philadelphia,1,150
Philadelphia,2,156
Philadelphia,3,113
Philadelphia,4,116
